m49;云台;;うんだい;짐벌;Gimbal or Pan-Tilt;Cardan or Pan-Tilt;Gimbal or Schwenk-Neige-Kopf;Gimbal or Pan-Tilt;;Gimbal or Pan-Tilt;Gimbal or Pan-Tilt;;;;Gimbal;Камера;;;;;;;;
m50;UVC;UVC;UVC;UVC;UVC;UVC;UVC;UVC;UVC;UVC;UVC;UVC;UVC;UVC;UVC;UVC;;;;;;;;
m51;AHD;AHD;AHD;AHD;AHD;AHD;AHD;AHD;AHD;AHD;AHD;AHD;AHD;AHD;AHD;AHD;;;;;;;;
m52;DOUBLE AHD;DOUBLE AHD;DOUBLE AHD;DOUBLE AHD;DOUBLE AHD;DOUBLE AHD;DOUBLE AHD;DOUBLE AHD;DOUBLE AHD;DOUBLE AHD;DOUBLE AHD;DOUBLE AHD;DOUBLE AHD;DOUBLE AHD;DOUBLE AHD;DOUBLE AHD;;;;;;;;
mv1;AHDUVC;AHDUVC;AHDUVC;AHDUVC;AHDUVC;AHDUVC;AHDUVC;AHDUVC;AHDUVC;AHDUVC;AHDUVC;AHDUVC;AHDUVC;AHDUVC;AHDUVC;AHDUVC;;;;;;;;
mv2;16:9;16:9;16:9;16:9;16:9;16:9;16:9;16:9;16:9;16:9;16:9;16:9;16:9;16:9;16:9;16:9;;;;;;;;
mv3;4:3;4:3;4:3;4:3;4:3;4:3;4:3;4:3;4:3;4:3;4:3;4:3;4:3;4:3;4:3;4:3;;;;;;;;
mv4;1:1;1:1;1:1;1:1;1:1;1:1;1:1;1:1;1:1;1:1;1:1;1:1;1:1;1:1;1:1;1:1;;;;;;;;
mv5;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;;;;;;;;
mv6;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;;;;;;;;
mv7;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;;;;;;;;
mv8;中文;;ちゅうごくご;중국어;Chinese;Chinois;Chinesisch;Cinese;;Chinês;Chino;;;;Chiński;Chinesisch;;;;;;;;
mv9;English;;えいご;영어;English;Anglais;Englisch;Inglese;;Inglês;Inglés;;;;Angielski;Englisch;;;;;;;;
mv10;Deutsch;;どいつご;독일어;German;Allemand;Deutsch;Tedesco;;Alemão;Alemán;;;;Niemiecki;Deutsch;;;;;;;;
mv11;français;;ふらんすご;프랑스어;French;Français;Französisch;Francese;;Francês;Francés;;;;Francuski;Französisch;;;;;;;;
mv12;português;;ぽるとがるご;포르투갈어;Portuguese;Portugais;Portugiesisch;Portoghese;;Português;Portugués;;;;Portugalski;Portugiesisch;;;;;;;;
mv13;español;;すぺいんご;스페인어;Spanish;Espagnol;Spanisch;Spagnolo;;Espanhol;Español;;;;Hiszpański;Spanisch;;;;;;;;
mv14;italiano;;いたりあご;이탈리아어;Italian;Italien;Italienisch;Italiano;;Italiano;Italiano;;;;Włoski;Italienisch;;;;;;;;
mp1;русский;;ろしあご;러시아어;Russian;Russe;Russisch;Russo;;Russo;Ruso;;;;Rosyjski;Russisch;;;;;;;;
mp2;한국어;;(かんこくご;한국어;Korean;Coréen;Koreanisch;Coreano;;Coreano;Coreano;;;;Koreański;Koreanisch;;;;;;;;
mp3;にほんご;;にほんご;일본어;Japanese;Japonais;Japanisch;Giapponese;;Japonês;Japonés;;;;Japoński;Japanisch;;;;;;;;
mp4;polski;;ぽーらんどご;폴란드어;Polish;Polonais;Polnisch;Polacco;;Polonês;Polaco;;;;Polski;Polnisch;;;;;;;;
mp5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;
mp6;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;;;;;;
mp7;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;;;;;;;;
mp8;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;;;;;;;;
mp9;USB;;USB;USB;USB;USB;USB;USB;USB;USB;USB;USB;USB;USB;USB;USB;;;;;;;;
mp10;确认;;確認;확인;Confirm;Confirmer;Bestätigen;Confermare;Bevestigen;Confirmar;Confirmar;;;;Potwierdź;Russian;;;;;;;;
mp11;;;;;;;;;;;;;;;;;;;;;;;;
mp12;默认;;デフォ;기본; Default;Par défaut;Std ;Predef;Standaard;Padrão;Predet;;;;Domyślny;По умолчанию;;;;;;;;
mp13;;;;;;;;;;;;;;;;;;;;;;;;
mp14;;;;;;;;;;;;;;;;;;;;;;;;
mp15;;;;;;;;;;;;;;;;;;;;;;;;
mp16;;;;;;;;;;;;;;;;;;;;;;;;
mp17;;;;;;;;;;;;;;;;;;;;;;;;
mp18;;;;;;;;;;;;;;;;;;;;;;;;
mp19;;;;;;;;;;;;;;;;;;;;;;;;
mp20;;;;;;;;;;;;;;;;;;;;;;;;
mp21;;;;;;;;;;;;;;;;;;;;;;;;
mp22;;;;;;;;;;;;;;;;;;;;;;;;
mp23;;;;;;;;;;;;;;;;;;;;;;;;
mp24;;;;;;;;;;;;;;;;;;;;;;;;
mp25;;;;;;;;;;;;;;;;;;;;;;;;
mp26;;;;;;;;;;;;;;;;;;;;;;;;
mp27;;;;;;;;;;;;;;;;;;;;;;;;
mp28;;;;;;;;;;;;;;;;;;;;;;;;
mp29;;;;;;;;;;;;;;;;;;;;;;;;
mp30;;;;;;;;;;;;;;;;;;;;;;;
mp31;;;;;;;;;;;;;;;;;;;;;;;
mp32;;;;;;;;;;;;;;;;;;;;;;;
mp33;;;;;;;;;;;;;;;;;;;;;;;
mst1;;;;;;;;;;;;;;;;;;;;;;;
mst2;;;;;;;;;;;;;;;;;;;;;;;
mst3;;;;;;;;;;;;;;;;;;;;;;;
mst4;;;;;;;;;;;;;;;;;;;;;;;
mst5;;;;;;;;;;;;;;;;;;;;;;;
mst6;;;;;;;;;;;;;;;;;;;;;;;
mst7;;;;;;;;;;;;;;;;;;;;;;;
mst8;;;;;;;;;;;;;;;;;;;;;;;
mst9;;;;;;;;;;;;;;;;;;;;;;;
mst10;;;;;;;;;;;;;;;;;;;;;;;
mst11;版本号：V1.0.0 beta;;;;;;;;;;;;;;;;;;;;;;
mst12;;;;;;;;;;;;;;;;;;;;;;;
mst13;;;;;;;;;;;;;;;;;;;;;;;
ms1;;;;;;;;;;;;;;;;;;;;;;;
ms2;;;;;;;;;;;;;;;;;;;;;;;
ms3;;;;;;;;;;;;;;;;;;;;;;;
ms4;;;;;;;;;;;;;;;;;;;;;;;
ms5;;;;;;;;;;;;;;;;;;;;;;;
ms6;;;;;;;;;;;;;;;;;;;;;;;
ms7;;;;;;;;;;;;;;;;;;;;;;;
ms8;;;;;;;;;;;;;;;;;;;;;;;
ms9;;;;;;;;;;;;;;;;;;;;;;;
ms10;;;;;;;;;;;;;;;;;;;;;;;
ms11;;;;;;;;;;;;;;;;;;;;;;;
ms12;;;;;;;;;;;;;;;;;;;;;;;
ms13;;;;;;;;;;;;;;;;;;;;;;;
ms14;;;;;;;;;;;;;;;;;;;;;;;
ms15;;;;;;;;;;;;;;;;;;;;;;;
ms16;;;;;;;;;;;;;;;;;;;;;;;
ms17;;;;;;;;;;;;;;;;;;;;;;;
ms18;;;;;;;;;;;;;;;;;;;;;;;
ms19;;;;;;;;;;;;;;;;;;;;;;;
ms20;;;;;;;;;;;;;;;;;;;;;;;
ms21;;;;;;;;;;;;;;;;;;;;;;;
ms22;;;;;;;;;;;;;;;;;;;;;;;
ms23;;;;;;;;;;;;;;;;;;;;;;;
ms24;;;;;;;;;;;;;;;;;;;;;;;
ms25;;;;;;;;;;;;;;;;;;;;;;;
ms26;;;;;;;;;;;;;;;;;;;;;;;
ms27;;;;;;;;;;;;;;;;;;;;;;;
ms28;;;;;;;;;;;;;;;;;;;;;;;
ms29;;;;;;;;;;;;;;;;;;;;;;;
ms30;;;;;;;;;;;;;;;;;;;;;;;
ms31;;;;;;;;;;;;;;;;;;;;;;;
ms32;;;;;;;;;;;;;;;;;;;;;;;;;;
ms33;;;;;;;;;;;;;;;;;;;;;;;;;;
ms34;;;;;;;;;;;;;;;;;;;;;;;;;;
ms35;;;;;;;;;;;;;;;;;;;;;;;;;;
mf1;删除;删除;Japanese;Korean;DELETE;French;German;Italian;Dutch;Portuguese;Spanish;Swedish;Czech;Danish;Polish;Russian;Turkey;Hebrew;Thai;Hungarian;Romanian;Arabic;;;;
mf2;取消;取消;Japanese;Korean;CANCEL;French;German;Italian;Dutch;Portuguese;Spanish;Swedish;Czech;Danish;Polish;Russian;Turkey;Hebrew;Thai;Hungarian;Romanian;Arabic;;;;
mf3;解锁;解鎖;Japanese;Korean;UNLOCK;French;German;Italian;Dutch;Portuguese;Spanish;Swedish;Czech;Danish;Polish;Russian;Turkey;Hebrew;Thai;Hungarian;Romanian;Arabic;;;;
tip1;无内存卡;無記憶體卡;Japanese;Korean;No Memory Card;French;German;Italian;Dutch;Portuguese;Spanish;Swedish;Czech;Danish;Polish;Russian;Turkey;Hebrew;Thai;Hungarian;Romanian;Arabic;;;;
tip2;电量不足;電量不足;Japanese;Korean;Low Battery;French;German;Italian;Dutch;Portuguese;Spanish;Swedish;Czech;Danish;Polish;Russian;Turkey;Hebrew;Thai;Hungarian;Romanian;Arabic;;;;
tip3;没有文件;沒有檔案;Japanese;Korean;No Files;French;German;Italian;Dutch;Portuguese;Spanish;Swedish;Czech;Danish;Polish;Russian;Turkey;Hebrew;Thai;Hungarian;Romanian;Arabic;;;;
tip4;请格式化;請格式化;Japanese;Korean;Please Format;French;German;Italian;Dutch;Portuguese;Spanish;Swedish;Czech;Danish;Polish;Russian;Turkey;Hebrew;Thai;Hungarian;Romanian;Arabic;;;;
tip5;正在删除文件;正在刪除檔案;Japanese;Korean;Deleting Files;French;German;Italian;Dutch;Portuguese;Spanish;Swedish;Czech;Danish;Polish;Russian;Turkey;Hebrew;Thai;Hungarian;Romanian;Arabic;;;;
tip6;文件已损坏;檔案已損壞;Japanese;Korean;Corrupted File;French;German;Italian;Dutch;Portuguese;Spanish;Swedish;Czech;Danish;Polish;Russian;Turkey;Hebrew;Thai;Hungarian;Romanian;Arabic;;;;
tip7;内存不足;記憶體不足;Japanese;Korean;No Memory;French;German;Italian;Dutch;Portuguese;Spanish;Swedish;Czech;Danish;Polish;Russian;Turkey;Hebrew;Thai;Hungarian;Romanian;Arabic;;;;
tip8;内存错误;記憶體錯誤;Japanese;Korean;Memory Error;French;German;Italian;Dutch;Portuguese;Spanish;Swedish;Czech;Danish;Polish;Russian;Turkey;Hebrew;Thai;Hungarian;Romanian;Arabic;;;;
tip9;是否删除当前文件？;是否删除當前檔案？;Japanese;Korean;Delete Current File;French;German;Italian;Dutch;Portuguese;Spanish;Swedish;Czech;Danish;Polish;Russian;Turkey;Hebrew;Thai;Hungarian;Romanian;Arabic;;;;
tip10;正在解锁文件;正在解鎖檔案;Japanese;Korean;Unlocking Files;French;German;Italian;Dutch;Portuguese;Spanish;Swedish;Czech;Danish;Polish;Russian;Turkey;Hebrew;Thai;Hungarian;Romanian;Arabic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tip11;正在加锁文件;正在加鎖檔案;Japanese;Korean;Locking Files;French;German;Italian;Dutch;Portuguese;Spanish;Swedish;Czech;Danish;Polish;Russian;Turkey;Hebrew;Thai;Hungarian;Romanian;Arabic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tip12;文件已加锁;檔案已加鎖;Japanese;Korean;Locked File;French;German;Italian;Dutch;Portuguese;Spanish;Swedish;Czech;Danish;Polish;Russian;Turkey;Hebrew;Thai;Hungarian;Romanian;Arabic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tip13;是否删除选中文件？;是否删除選中檔案？;Japanese;Korean;Delete Selected Files？;French;German;Italian;Dutch;Portuguese;Spanish;Swedish;Czech;Danish;Polish;Russian;Turkey;Hebrew;Thai;Hungarian;Romanian;Arabic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tip14;是否删除全部文件？;是否删除全部檔案？;Japanese;Korean;Delete All Files？;French;German;Italian;Dutch;Portuguese;Spanish;Swedish;Czech;Danish;Polish;Russian;Turkey;Hebrew;Thai;Hungarian;Romanian;Arabic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tip15;是否解锁全部文件？;是否解鎖全部檔案？;Japanese;Korean;Unlock All Files？;French;German;Italian;Dutch;Portuguese;Spanish;Swedish;Czech;Danish;Polish;Russian;Turkey;Hebrew;Thai;Hungarian;Romanian;Arabic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tip16;10秒后关机;10秒后關機;Japanese;Korean;Shotdown After 10S;French;German;Italian;Dutch;Portuguese;Spanish;Swedish;Czech;Danish;Polish;Russian;Turkey;Hebrew;Thai;Hungarian;Romanian;Arabic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tip17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tip18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tip19;包含保护文件，是否删除？;包含保護檔案，是否删除？;Japanese;Korean;Include Protected Files, Delete or Not?;French;German;Italian;Dutch;Portuguese;Spanish;Swedish;Czech;Danish;Polish;Russian;Turkey;Hebrew;Thai;Hungarian;Romanian;Arabic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tip20;文件夹，是否删除？;檔案夾，是否删除？;Japanese;Korean;Is Dir, Delete or Not?;French;German;Italian;Dutch;Portuguese;Spanish;Swedish;Czech;Danish;Polish;Russian;Turkey;Hebrew;Thai;Hungarian;Romanian;Arabic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tip21;内存卡写入失败;記憶體卡寫入失敗;Japanese;Korean;SD Write ERROR;French;German;Italian;Dutch;Portuguese;Spanish;Swedish;Czech;Danish;Polish;Russian;Turkey;Hebrew;Thai;Hungarian;Romanian;Arabic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tip22;请先停止录像;请先停止录像;请先停止录像;请先停止录像;请先停止录像;请先停止录像;请先停止录像;请先停止录像;请先停止录像;请先停止录像;请先停止录像;请先停止录像;请先停止录像;请先停止录像;请先停止录像;请先停止录像;请先停止录像;请先停止录像;请先停止录像;请先停止录像;请先停止录像;请先停止录像;请先停止录像;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
